step,epoch,loss,cosine,pred_norm,target_norm,lr,ema
360,1,0.0035743608605116606,,,,2.7075000000000003e-06,1.0
361,1,0.0035766521468758583,,,,2.715e-06,1.0
362,1,0.0036538271233439445,,,,2.7225e-06,1.0
363,1,0.0036209807731211185,,,,2.73e-06,1.0
364,1,0.0035452628508210182,,,,2.7375e-06,1.0
365,1,0.003518300363793969,,,,2.745e-06,1.0
366,1,0.00351087749004364,,,,2.7525000000000003e-06,1.0
367,1,0.0035111717879772186,,,,2.76e-06,1.0
368,1,0.0036217132583260536,,,,2.7675e-06,1.0
369,1,0.0034756618551909924,,,,2.775e-06,1.0
370,1,0.0035774093121290207,,,,2.7825e-06,1.0
371,1,0.003450714750215411,,,,2.79e-06,1.0
372,1,0.003575275419279933,,,,2.7975e-06,1.0
373,1,0.0036414815112948418,,,,2.8050000000000002e-06,1.0
374,1,0.0035737508442252874,,,,2.8124999999999998e-06,1.0
375,1,0.003537424374371767,,,,2.82e-06,1.0
376,1,0.003626239253208041,,,,2.8275e-06,1.0
377,1,0.003411913989111781,,,,2.8350000000000004e-06,1.0
378,1,0.0033974768593907356,,,,2.8425e-06,1.0
379,1,0.003399146255105734,,,,2.8500000000000002e-06,1.0
380,1,0.0033912304788827896,,,,2.8575e-06,1.0
381,1,0.003351527266204357,,,,2.865e-06,1.0
382,1,0.003359430469572544,,,,2.8725e-06,1.0
383,1,0.0033341976813971996,,,,2.8800000000000004e-06,1.0
384,1,0.003438500687479973,,,,2.8875e-06,1.0
385,1,0.003538653254508972,,,,2.895e-06,1.0
386,1,0.0033119593281298876,,,,2.9025e-06,1.0
387,1,0.003389122895896435,,,,2.91e-06,1.0
388,1,0.0033003033604472876,,,,2.9175e-06,1.0
389,1,0.003300295677036047,,,,2.925e-06,1.0
390,1,0.003273677546530962,,,,2.9325000000000003e-06,1.0
391,1,0.003351848106831312,,,,2.94e-06,1.0
392,1,0.003258820390328765,,,,2.9475e-06,1.0
393,1,0.003316863439977169,,,,2.955e-06,1.0
394,1,0.003273406531661749,,,,2.9625000000000004e-06,1.0
395,1,0.0032138428650796413,,,,2.97e-06,1.0
396,1,0.0032383722718805075,,,,2.9775000000000003e-06,1.0
397,1,0.003191400086507201,,,,2.9850000000000002e-06,1.0
398,1,0.0034005152992904186,,,,2.9924999999999997e-06,1.0
399,1,0.0031827441416680813,0.5926088094711304,1.0,1.0,3e-06,1.0
400,1,0.0031936620362102985,,,,3.0075e-06,1.0
401,1,0.0031603355892002583,,,,3.015e-06,1.0
402,1,0.003248009830713272,,,,3.0225e-06,1.0
403,1,0.003246663138270378,,,,3.0300000000000002e-06,1.0
404,1,0.003264824626967311,,,,3.0375e-06,1.0
405,1,0.003112262347713113,,,,3.045e-06,1.0
406,1,0.0031402288004755974,,,,3.0525e-06,1.0
407,1,0.0030868048779666424,,,,3.0600000000000003e-06,1.0
408,1,0.003122052177786827,,,,3.0675e-06,1.0
409,1,0.003145792055875063,,,,3.075e-06,1.0
410,1,0.0030793696641921997,,,,3.0825e-06,1.0
411,1,0.0031625262927263975,,,,3.09e-06,1.0
412,1,0.0031015020795166492,,,,3.0975e-06,1.0
413,1,0.003177056787535548,,,,3.105e-06,1.0
414,1,0.0031020306050777435,,,,3.1125000000000003e-06,1.0
415,1,0.003035701112821698,,,,3.1199999999999998e-06,1.0
416,1,0.0030627127271145582,,,,3.1275e-06,1.0
417,1,0.0031519271433353424,,,,3.135e-06,1.0
418,1,0.003037630580365658,,,,3.1425e-06,1.0
419,1,0.0031320645939558744,,,,3.15e-06,1.0
420,1,0.003087421879172325,,,,3.1575000000000003e-06,1.0
421,1,0.0030043134465813637,,,,3.165e-06,1.0
422,1,0.0030240195337682962,,,,3.1725e-06,1.0
423,1,0.003289229003712535,,,,3.18e-06,1.0
424,1,0.003098523011431098,,,,3.1875000000000004e-06,1.0
425,1,0.0029720314778387547,,,,3.195e-06,1.0
426,1,0.003280786331743002,,,,3.2025000000000003e-06,1.0
427,1,0.0030394948553293943,,,,3.21e-06,1.0
428,1,0.002943785395473242,,,,3.2174999999999997e-06,1.0
429,1,0.002972714602947235,,,,3.225e-06,1.0
430,1,0.003056034678593278,,,,3.2325e-06,1.0
431,1,0.002913006115704775,,,,3.2400000000000003e-06,1.0
432,1,0.0030130306258797646,,,,3.2475e-06,1.0
433,1,0.0029149451293051243,,,,3.255e-06,1.0
434,1,0.0029039049986749887,,,,3.2625e-06,1.0
435,1,0.0030711935833096504,,,,3.27e-06,1.0
436,1,0.0028905579820275307,,,,3.2775e-06,1.0
437,1,0.0028683017008006573,,,,3.2850000000000003e-06,1.0
438,1,0.0029430200811475515,,,,3.2925000000000002e-06,1.0
439,1,0.0028730009216815233,,,,3.3e-06,1.0
440,1,0.0028337587136775255,,,,3.3075e-06,1.0
441,1,0.0028843889012932777,,,,3.3150000000000004e-06,1.0
442,1,0.002845949959009886,,,,3.3225e-06,1.0
443,1,0.0028631864115595818,,,,3.33e-06,1.0
444,1,0.0028540447819978,,,,3.3375000000000002e-06,1.0
445,1,0.0028453380800783634,,,,3.3449999999999997e-06,1.0
446,1,0.002796376124024391,,,,3.3525e-06,1.0
447,1,0.0029475847259163857,,,,3.36e-06,1.0
448,1,0.0029505686834454536,,,,3.3675000000000004e-06,1.0
449,1,0.0028093368746340275,,,,3.375e-06,1.0
450,1,0.0029770066030323505,,,,3.3825000000000002e-06,1.0
451,1,0.0028949566185474396,,,,3.39e-06,1.0
452,1,0.002764295320957899,,,,3.3975e-06,1.0
453,1,0.002979937242344022,,,,3.405e-06,1.0
454,1,0.002755269408226013,,,,3.4125000000000004e-06,1.0
455,1,0.0027895248495042324,,,,3.4200000000000003e-06,1.0
456,1,0.0027640669140964746,,,,3.4275e-06,1.0
457,1,0.002741997130215168,,,,3.435e-06,1.0
458,1,0.0029748091474175453,,,,3.4425e-06,1.0
459,1,0.00275005167350173,,,,3.45e-06,1.0
460,1,0.002734753768891096,,,,3.4575e-06,1.0
461,1,0.002825863193720579,,,,3.4650000000000003e-06,1.0
